Raw Skill,Mapped Standard Code,Mapped Description,Match Score
fact-finding,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.2433
fairness,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.0932
feedback,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2048
figurative language,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.4395
figurative meaning,2.RL.2,"Recount stories, including fables and folktales, and determine their central message, lesson, or moral",0.2459
fluency,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.5004
focus,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2773
force,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.1409
force and motion,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2169
foresight,1.RL.3,"Describe characters, settings, and major events in a story",0.2178
formula use,1.OA.3,Apply properties of operations as strategies to add and subtract,0.3508
fraction models,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1895
fraction operations,1.OA.3,Apply properties of operations as strategies to add and subtract,0.5011
fractions,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.3103
freedom,1.RL.3,"Describe characters, settings, and major events in a story",0.1236
friendship skills,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1794
functional literacy,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.5034
generosity,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.1943
genre comparison,1.RL.3,"Describe characters, settings, and major events in a story",0.2907
genre recognition,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.3603
geography,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2481
geology,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1209
geometry,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3852
global citizenship,K.RL.1,Ask and answer questions about key details in a text,0.0769
goal setting,1.RL.3,"Describe characters, settings, and major events in a story",0.279
grammar,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3056
graph interpretation,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2949
graphing,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3945
gratitude,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.1478
greater/less than,K.CC.1,Count to 100 by ones and by tens,0.3129
grit,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2078
group norms,K.CC.1,Count to 100 by ones and by tens,0.1007
grouping,K.CC.1,Count to 100 by ones and by tens,0.3197
growth,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1884
growth mindset,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.1519
habit-building,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.173
habits,1.RL.3,"Describe characters, settings, and major events in a story",0.1843
hands-on testing,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2273
hazard awareness,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2035
headings,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.1844
helping,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.1731
historical thinking,2.RL.2,"Recount stories, including fables and folktales, and determine their central message, lesson, or moral",0.2473
history,1.RL.3,"Describe characters, settings, and major events in a story",0.2714
honesty,1.RL.3,"Describe characters, settings, and major events in a story",0.208
idea development,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3224
identity,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1992
inclusion,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.1983
inclusive behavior,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2428
independence,1.RL.3,"Describe characters, settings, and major events in a story",0.1329
industry,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1515
inference,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2993
initiative,1.RL.3,"Describe characters, settings, and major events in a story",0.1998
innovation,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2214
inquiry,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2809
interdependence,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1963
interpersonal skills,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2459
interpretation,1.RL.3,"Describe characters, settings, and major events in a story",0.276
introspection,1.RL.3,"Describe characters, settings, and major events in a story",0.2385
invention,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2256
investigation,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.1607
irony,K.CC.1,Count to 100 by ones and by tens,0.1121
iteration,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2889
kindness,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1256
labeling,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2972
labeling feelings,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2609
laws,1.OA.3,Apply properties of operations as strategies to add and subtract,0.167
leadership,1.RL.3,"Describe characters, settings, and major events in a story",0.22
legacy,1.RL.3,"Describe characters, settings, and major events in a story",0.1802
listening,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.304
listening comprehension,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.5886
local relevance,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2503
logical reasoning,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3181
logical thinking,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3279
magnetism,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2139
main idea,1.RL.3,"Describe characters, settings, and major events in a story",0.2769
making 10,K.CC.1,Count to 100 by ones and by tens,0.4076
map reading,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.4236
mapping,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2926
materials sorting,K.CC.1,Count to 100 by ones and by tens,0.2221
math fluency,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.4924
math reasoning,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.427
math vocabulary,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.4584
maturity,1.RL.3,"Describe characters, settings, and major events in a story",0.1533
measurement,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.258
measuring,K.CC.1,Count to 100 by ones and by tens,0.3296
mechanics,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2597
media literacy,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3519
memory building,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3044
metaphors,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.409
mindfulness,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.1343
mindset,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.194
model drawing,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.4
modeling,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3841
models,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2937
money basics,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.2447
money identification,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.233
money math,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.415
motion,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2718
motivation,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.1842
multi-step reasoning,1.OA.3,Apply properties of operations as strategies to add and subtract,0.3662
multimodal literacy,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.4236
multiplication,1.OA.3,Apply properties of operations as strategies to add and subtract,0.524
multiplication intro,1.OA.3,Apply properties of operations as strategies to add and subtract,0.4563
negotiation,1.OA.3,Apply properties of operations as strategies to add and subtract,0.1717
nonfiction,1.RL.3,"Describe characters, settings, and major events in a story",0.3586
nonfiction comprehension,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.5797
nonfiction features,1.RL.3,"Describe characters, settings, and major events in a story",0.4556
nonverbal cues,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.35
note taking,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3202
note-taking,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3225
number lines,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.3568
number recognition,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.4608
number representation,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.5043
number sense,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones,0.5273
numeracy,K.CC.1,Count to 100 by ones and by tens,0.373
observation,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2135
one-to-one correspondence,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2327
operations,1.OA.3,Apply properties of operations as strategies to add and subtract,0.702
oral fluency,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.3928
oral reading,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.5321
orbit,1.OA.3,Apply properties of operations as strategies to add and subtract,0.133
order of operations,1.OA.3,Apply properties of operations as strategies to add and subtract,0.6088
ordering,K.CC.1,Count to 100 by ones and by tens,0.2721
organization,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2061
paraphrasing,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2713
part-whole,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.1323
part-whole relationships,1.RL.3,"Describe characters, settings, and major events in a story",0.219
participation,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.1812
parts of a plant,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2009
patience,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2392
pattern extension,1.OA.3,Apply properties of operations as strategies to add and subtract,0.292
pattern noticing,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.244
pattern recognition,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.4263
patterning,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3567
patterns,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3827
peaceful communication,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2058
perseverance,2.RL.2,"Recount stories, including fables and folktales, and determine their central message, lesson, or moral",0.1674
personal strengths,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2547
perspective,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2512
perspective-taking,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2786
persuasion,2.RL.2,"Recount stories, including fables and folktales, and determine their central message, lesson, or moral",0.2182
phonemic awareness,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.3557
phonics,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2757
phonological awareness,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.549
physical science,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.3188
place value,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2398
planning,1.RL.3,"Describe characters, settings, and major events in a story",0.2706
plot elements,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2648
plot structure,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2473
poetry,2.RL.2,"Recount stories, including fables and folktales, and determine their central message, lesson, or moral",0.3088
poetry features,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.4374
positive thinking,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2307
practical math,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.4637
predicting,1.RL.3,"Describe characters, settings, and major events in a story",0.2139
prediction,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.1903
predictions,1.RL.3,"Describe characters, settings, and major events in a story",0.1753
presentation,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.2603
pride,2.RL.2,"Recount stories, including fables and folktales, and determine their central message, lesson, or moral",0.1763
primary sources,2.RL.2,"Recount stories, including fables and folktales, and determine their central message, lesson, or moral",0.1967
print tracking,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2223
priorities,1.RL.3,"Describe characters, settings, and major events in a story",0.2825
problem solving,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.4584
pronouns,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2442
properties,1.OA.3,Apply properties of operations as strategies to add and subtract,0.3237
prosody,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.3827
protest,K.CC.1,Count to 100 by ones and by tens,0.1594
public speaking,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds",0.3931
purpose,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2023
purpose identification,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2141
quadrants,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2542
quantity comparison,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.3397
questioning,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.2477
ratio reasoning,2.OA.1,Use addition and subtraction within 100 to solve word problems,0.3535
reactions,1.OA.3,Apply properties of operations as strategies to add and subtract,0.2787
reading confidence,1.RF.4,Read with sufficient accuracy and fluency to support comprehension,0.5613
real-world application,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.2967
real-world math,K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, etc.",0.4615
